import time: self [us] | cumulative | imported package
import time:       356 |        356 |   _io
import time:        57 |         57 |   marshal
import time:       406 |        406 |   posix
import time:       439 |       1256 | _frozen_importlib_external
import time:       172 |        172 |   time
import time:       151 |        323 | zipimport
import time:        80 |         80 |     _codecs
import time:       407 |        486 |   codecs
import time:       684 |        684 |   encodings.aliases
import time:       796 |       1965 | encodings
import time:       267 |        267 | encodings.utf_8
import time:       167 |        167 | _signal
import time:        51 |         51 |     _abc
import time:       168 |        219 |   abc
import time:       216 |        434 | io
import time:        66 |         66 |       _stat
import time:        94 |        159 |     stat
import time:      1012 |       1012 |     _collections_abc
import time:        75 |         75 |       genericpath
import time:       124 |        199 |     posixpath
import time:       437 |       1806 |   os
import time:        99 |         99 |   _sitebuiltins
import time:       380 |        380 |     apport_python_hook
import time:       230 |        609 |   sitecustomize
import time:      2204 |       4717 | site
import time:       353 |        353 |         types
import time:       104 |        104 |           _operator
import time:       386 |        490 |         operator
import time:       144 |        144 |             itertools
import time:       179 |        179 |             keyword
import time:       277 |        277 |             reprlib
import time:        87 |         87 |             _collections
import time:      1228 |       1912 |           collections
import time:        72 |         72 |           _functools
import time:       721 |       2704 |         functools
import time:      1791 |       5337 |       enum
import time:        94 |         94 |         _sre
import time:       557 |        557 |           re._constants
import time:       510 |       1067 |         re._parser
import time:       202 |        202 |         re._casefix
import time:       625 |       1986 |       re._compiler
import time:       247 |        247 |       copyreg
import time:       707 |       8275 |     re
import time:       105 |        105 |       _struct
import time:       212 |        316 |     struct
import time:        95 |         95 |     binascii
import time:       418 |       9103 |   base64
import time:       628 |        628 |     ui
import time:     13501 |      14129 |   ui.resources
import time:       311 |        311 |       fnmatch
import time:       440 |        440 |       warnings
import time:       100 |        100 |       errno
import time:       204 |        204 |         urllib
import time:       103 |        103 |         math
import time:      1760 |       1760 |         ipaddress
import time:      3065 |       5131 |       urllib.parse
import time:       133 |        133 |         _winapi
import time:       107 |        107 |         nt
import time:        95 |         95 |         nt
import time:       123 |        123 |         nt
import time:       127 |        127 |         nt
import time:       114 |        114 |         nt
import time:        91 |         91 |         nt
import time:       215 |       1000 |       ntpath
import time:      1360 |       8339 |     pathlib
import time:       352 |        352 |           importlib
import time:       281 |        281 |           importlib._abc
import time:       308 |        308 |             _weakrefset
import time:       952 |       1259 |           threading
import time:       247 |       2138 |         importlib.util
import time:       133 |        133 |           zlib
import time:       339 |        339 |             _compression
import time:       411 |        411 |             _bz2
import time:       346 |       1095 |           bz2
