import time: self [us] | cumulative | imported package
import time:       235 |        235 |   _io
import time:        44 |         44 |   marshal
import time:       295 |        295 |   posix
import time:       325 |        897 | _frozen_importlib_external
import time:       115 |        115 |   time
import time:       105 |        220 | zipimport
import time:        67 |         67 |     _codecs
import time:       255 |        322 |   codecs
import time:       462 |        462 |   encodings.aliases
import time:       555 |       1337 | encodings
import time:       192 |        192 | encodings.utf_8
import time:       126 |        126 | _signal
import time:        37 |         37 |     _abc
import time:       114 |        150 |   abc
import time:       135 |        285 | io
import time:        50 |         50 |       _stat
import time:        73 |        122 |     stat
import time:       713 |        713 |     _collections_abc
import time:        56 |         56 |       genericpath
import time:        84 |        139 |     posixpath
import time:       306 |       1278 |   os
import time:        71 |         71 |   _sitebuiltins
import time:       276 |        276 |     apport_python_hook
import time:       149 |        425 |   sitecustomize
import time:      1479 |       3251 | site
import time:       251 |        251 |         types
import time:        78 |         78 |           _operator
import time:       266 |        343 |         operator
import time:       112 |        112 |             itertools
import time:       132 |        132 |             keyword
import time:       210 |        210 |             reprlib
import time:        93 |         93 |             _collections
import time:       905 |       1450 |           collections
import time:        55 |         55 |           _functools
import time:       558 |       2063 |         functools
import time:      1207 |       3863 |       enum
import time:        78 |         78 |         _sre
import time:       321 |        321 |           re._constants
import time:       333 |        654 |         re._parser
import time:       119 |        119 |         re._casefix
import time:       369 |       1217 |       re._compiler
import time:       172 |        172 |       copyreg
import time:       516 |       5767 |     re
import time:        76 |         76 |       _struct
import time:       135 |        211 |     struct
import time:        70 |         70 |     binascii
import time:       323 |       6369 |   base64
import time:       141 |        141 |     ui
import time:      1294 |       1434 |   ui.resources
import time:       180 |        180 |       fnmatch
import time:       293 |        293 |       warnings
import time:        68 |         68 |       errno
import time:       138 |        138 |         urllib
import time:        72 |         72 |         math
import time:      1175 |       1175 |         ipaddress
import time:      1942 |       3325 |       urllib.parse
import time:        99 |         99 |         _winapi
import time:        73 |         73 |         nt
import time:        69 |         69 |         nt
import time:        72 |         72 |         nt
import time:        68 |         68 |         nt
import time:        66 |         66 |         nt
import time:        68 |         68 |         nt
import time:       141 |        651 |       ntpath
import time:       895 |       5409 |     pathlib
import time:       184 |        184 |           importlib
import time:       195 |        195 |           importlib._abc
import time:       219 |        219 |             _weakrefset
import time:       654 |        873 |           threading
import time:       152 |       1402 |         importlib.util
import time:        92 |         92 |           zlib
import time:       226 |        226 |             _compression
import time:       327 |        327 |             _bz2
import time:       250 |        802 |           bz2
import time:       332 |        332 |             _lzma
import time:       259 |        591 |           lzma
